Oráculos,Tarot,Os70,40 servidores,Cigano,Cartas Sakura
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1545.png,https://i.imgur.com/6M4YxVt.png,https://caotize.se/wp-content/uploads/the-opposer-o-opositor-os-quarenta-servidores/31-Arte-The-Opposer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/032.png,https://static.wikia.nocookie.net/ccs/images/9/99/SakuraMaze.jpg/revision/latest/scale-to-width-down/150?cb=20160527130721
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1561.png,https://i.imgur.com/fIZrUI1.png,https://caotize.se/wp-content/uploads/the-planet-o-planeta-os-quarenta-servidores/32-Arte-The-Planet-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/033.png,https://static.wikia.nocookie.net/ccs/images/2/25/SakuraIllusion.jpg/revision/latest/scale-to-width-down/150?cb=20160527124422
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1577.png,https://i.imgur.com/sctuJ2k.png,https://caotize.se/wp-content/uploads/the-protector-o-protetor-os-quarenta-servidores/33-Arte-The-Protector-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/034.png,https://static.wikia.nocookie.net/ccs/images/3/3b/SakuraWood.jpg/revision/latest/scale-to-width-down/150?cb=20160527125533
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1593.png,https://i.imgur.com/2I6S5R9.png,https://caotize.se/wp-content/uploads/the-protester-a-protestante-os-quarenta-servidores/34-Arte-The-Protester-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/035.png,https://static.wikia.nocookie.net/ccs/images/c/c5/SakuraThunder.jpg/revision/latest/scale-to-width-down/150?cb=20160606173248
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1609.png,https://i.imgur.com/S6yygRJ.png,https://caotize.se/wp-content/uploads/the-road-opener-abridor-de-caminhos-os-quarenta-servidores/35-Arte-The-Road-Opener-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/036.png,https://static.wikia.nocookie.net/ccs/images/8/88/SakuraGlow.jpg/revision/latest/scale-to-width-down/150?cb=20160527125136
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1625.png,https://i.imgur.com/TKJ96Sh.png,https://caotize.se/wp-content/uploads/the-saint-o-santo-os-quarenta-servidores/36-Arte-The-Saint-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://blogdotarot.com/wp-content/uploads/2025/12/carta_36_baralho_cigano-1024x535.png,https://static.wikia.nocookie.net/ccs/images/7/7a/SakuraSnow.jpg/revision/latest/scale-to-width-down/150?cb=20160527124953
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1641.png,https://i.imgur.com/SREsXvX.png,https://caotize.se/wp-content/uploads/the-seer-a-vidente-os-quarenta-servidores/37-Arte-The-Seer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,,https://static.wikia.nocookie.net/ccs/images/c/c8/SakuraReturn.jpg/revision/latest/scale-to-width-down/150?cb=20160527123910
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1657.png,https://i.imgur.com/kBas1FY.png,https://caotize.se/wp-content/uploads/the-sun-o-sol-os-quarenta-servidores/38-Arte-The-Sun-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,,https://static.wikia.nocookie.net/ccs/images/e/ef/SakuraCloud.jpg/revision/latest/scale-to-width-down/150?cb=20160404163644
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g257.png,https://i.imgur.com/M509bpG.png,https://caotize.se/wp-content/uploads/the-thinker-o-pensador-os-quarenta-servidores/39-Arte-The-Thinker-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,,https://static.wikia.nocookie.net/ccs/images/8/84/SakuraShot.jpg/revision/latest/scale-to-width-down/150?cb=20160527125359
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g273.png,https://i.imgur.com/AP0zYOh.png,https://caotize.se/wp-content/uploads/the-witch-a-bruxa-os-quarenta-servidores/40-Arte-The-Witch-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,,https://static.wikia.nocookie.net/ccs/images/c/c6/SakuraSilent.jpg/revision/latest/scale-to-width-down/150?cb=20180819110520
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g289.png,https://i.imgur.com/u58RzqA.png,,,https://static.wikia.nocookie.net/ccs/images/6/69/SakuraMirror.jpg/revision/latest/scale-to-width-down/150?cb=20180916212950
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g305.png,https://i.imgur.com/twbg2TJ.png,,,https://static.wikia.nocookie.net/ccs/images/a/a9/SakuraArrow.jpg/revision/latest/scale-to-width-down/150?cb=20160527122905
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g321.png,https://i.imgur.com/veLNYZl.png,,,https://static.wikia.nocookie.net/ccs/images/7/75/SakuraCreate.jpg/revision/latest/scale-to-width-down/150?cb=20160527125906
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g337.png,https://i.imgur.com/WH1VUHQ.png,,,https://static.wikia.nocookie.net/ccs/images/9/94/SakuraEarthy.jpg/revision/latest/scale-to-width-down/150?cb=20160527123729
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g3989.png,https://i.imgur.com/k7rep8J.png,,,https://static.wikia.nocookie.net/ccs/images/e/e3/SakuraMove.jpg/revision/latest/scale-to-width-down/150?cb=20160527125838
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g4000.png,https://i.imgur.com/ddzF0oM.png,,,https://static.wikia.nocookie.net/ccs/images/5/5a/SakuraThrough.jpg/revision/latest/scale-to-width-down/150?cb=20160527123948
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g411.png,https://i.imgur.com/WzExeVj.png,,,https://static.wikia.nocookie.net/ccs/images/e/e9/SakuraTwin.jpg/revision/latest/scale-to-width-down/150?cb=20160527125219
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g427.png,https://i.imgur.com/iLxYZLc.png,,,https://static.wikia.nocookie.net/ccs/images/a/ad/SakuraLight.jpg/revision/latest/scale-to-width-down/150?cb=20160606171359
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g443.png,https://i.imgur.com/FOsPlM5.png,,,https://static.wikia.nocookie.net/ccs/images/a/aa/SakuraDark.jpg/revision/latest/scale-to-width-down/150?cb=20160527123702
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g459.png,https://i.imgur.com/G4aEgRD.png,,,https://static.wikia.nocookie.net/ccs/images/3/3d/SakuraNameless.jpg/revision/latest/scale-to-width-down/150?cb=20200502164600
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g475.png,https://i.imgur.com/C1KZjqt.png,,,https://static.wikia.nocookie.net/ccs/images/c/cb/SakuraHope.jpg/revision/latest/scale-to-width-down/150?cb=20140507185920
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g491.png,https://i.imgur.com/HEFbgZb.png,,,https://static.wikia.nocookie.net/ccs/images/a/af/SakuraNothing.jpg/revision/latest/scale-to-width-down/150?cb=20170519140918
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g507.png,https://i.imgur.com/WUYKEvR.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g523.png,https://i.imgur.com/NfenPei.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g555.png,https://i.imgur.com/qFH2Ded.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g571.png,https://i.imgur.com/4q7Jn2j.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g587.png,https://i.imgur.com/ynz7tEQ.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g603.png,https://i.imgur.com/mDJaPyp.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g619.png,https://i.imgur.com/wFGnHAU.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g635.png,https://i.imgur.com/rOd1vxw.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g651.png,https://i.imgur.com/zeGKoru.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g667.png,https://i.imgur.com/gSLbsoL.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g683.png,https://i.imgur.com/O4fGaX4.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g715.png,https://i.imgur.com/t6an6rY.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g731.png,https://i.imgur.com/YBTOA2r.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g747.png,https://i.imgur.com/lgsflTU.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g763.png,https://i.imgur.com/sGXWHiz.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g779.png,https://i.imgur.com/kS9EUWx.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g795.png,https://i.imgur.com/e9gt6pL.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g811.png,https://i.imgur.com/1QTRU7K.png,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g827.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g843.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g875.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g891.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g937.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g953.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g969.png,,,,
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g985.png,,,,
